name,위도,경도,전기차등록수,X500m충전소,X500m생활근린시설,주민등록세대,면수
갑곳 공영주차장,37.741713,126.505053,0.157349896,0.2421875,0.028064993,0.142100754,90
강화역사관주차장,37.736048,126.5142592,0.157349896,0.326388889,0.016248154,0.142100754,88
강화읍 갑곳 제1공영주차장,37.73840542,126.5074697,0.157349896,0.191666667,0.020679468,0.142100754,119
강화읍 갑곳 제2공영주차장,37.74232092,126.4986252,0.157349896,0.2421875,0.042836041,0.142100754,34
강화읍 신문 제1공영주차장,37.74236799,126.4800651,0.157349896,0.494791667,0.032496307,0.142100754,59
강화종합전시관(구.토산품센터)주차장,37.74190934,126.4883684,0.157349896,0.081439394,0.051698671,0.142100754,78
강화평화전망대주차장,37.826436,126.4330222,0.157349896,1,0,0.006235692,71
고인돌주차장,37.774084,126.4367956,0.157349896,1,0.004431315,0.021375504,80
관청 제1공영주차장,37.751756,126.479978,0.157349896,0.191666667,0.127031019,0.142100754,75
관청 제2공영주차장,37.751513,126.481225,0.157349896,0.157986111,0.171344165,0.142100754,24
관청리주차장,37.747746,126.4829846,0.157349896,0.133928571,0.29689808,0.142100754,72
광성보주차장,37.664244,126.5249234,0.157349896,0.326388889,0,0.029226297,75
남문 공영주차장,37.74508761,126.4864718,0.157349896,0.090625,0.202363368,0.142100754,164
남산리(구.풍물시장)주차장,37.739364,126.4896322,0.157349896,0.061755952,0.022156573,0.142100754,82
대룡리공영주차장,37.782286,126.2788001,0.157349896,0.191666667,0.039881832,0.013988175,28
덕진진주차장,37.648966,126.5236201,0.157349896,1,0.001477105,0.029226297,45
동막해변 공영주차장,37.594553,126.455815,0.157349896,0.133928571,0.011816839,0.026501692,94
동막해수욕장주차장,37.592743,126.4581114,0.157349896,0.133928571,0.011816839,0.026501692,68
동문안 공영주차장,37.74786849,126.4891837,0.157349896,0.101851852,0.163958641,0.142100754,15
마니산주차장,37.63480074,126.4226774,0.157349896,0.326388889,0.047267356,0.026501692,450
매음 제1공영주차장,37.685405,126.316163,0.157349896,0.326388889,0.00295421,0.009058607,151
석포리 선착장주차장,37.692933,126.3666379,0.157349896,1,0.007385524,0.009058607,97
선원면 창리 제1공영주차장,37.72297541,126.4787526,0.157349896,0.494791667,0.008862629,0.04301785,175
신문 공영주차장,37.743811,126.480539,0.157349896,0.326388889,0.131462334,0.142100754,26
신문리공영주차장,37.7465337,126.4791545,0.157349896,0.157986111,0.215657312,0.142100754,80
신문리주차장,37.746913,126.4820872,0.157349896,0.157986111,0.292466765,0.142100754,89
온수리 제2공영주차장,37.639165,126.4922173,0.157349896,0.2421875,0.082717873,0.043270649,56
온수리 주차장,37.641116,126.4891856,0.157349896,0.326388889,0.084194978,0.043270649,70
용흥궁공원주차장,37.74883921,126.4867424,0.157349896,0.157986111,0.248153619,0.142100754,80
중앙로주차장,37.746037,126.4869767,0.157349896,0.073784722,0.223042836,0.142100754,120
창리 제2공영주차장,37.722351,126.484017,0.157349896,0.494791667,0.010339734,0.04301785,81
초지진주차장,37.6326099,126.5322629,0.157349896,0.326388889,0.011816839,0.043270649,34
풍물시장주차장,37.741421,126.4928674,0.157349896,0.101851852,0.048744461,0.142100754,264
함허동천주차장,37.624269,126.3802477,0.157349896,1,0.017725258,0.026501692,285
화문석문화관주차장,37.748163,126.4827979,0.157349896,0.133928571,0.276218612,0.015519009,12
경인교대 환승,37.538426,126.72206,1,0.049019608,0.311669129,0.493364044,84
계산동 302-1,37.536733,126.728975,1,0.025669643,0.177252585,0.493364044,33
계산동 957-12,37.539281,126.723455,1,0.049019608,0.326440177,0.493364044,19
계산동 959-10,37.54015346,126.7248385,1,0.035511364,0.342688331,0.493364044,15
계산동 964-10,37.538334,126.72642,1,0.073784722,0.295420975,0.493364044,20
계산복개천(상),37.54304313,126.7191428,1,0.040104167,0.144756278,0.493364044,102
계산복개천(시장전용),37.53945561,126.7230635,1,0.049019608,0.332348597,0.493364044,28
계산체육공원지하,37.545044,126.728997,1,0.133928571,0.11521418,0.493364044,215
계산택지1,37.54098745,126.7367574,1,0.005880376,0.059084195,0.493364044,191
계산택지2,37.53630167,126.7373565,1,0.006147541,0.047267356,0.493364044,148
계산택지3,37.53744173,126.7377592,1,0.004017857,0.032496307,0.493364044,155
계산택지4,37.53188825,126.7350489,1,0.021158854,0.069423929,0.27820457,142
계양IC 화물공영차고지,37.540623,126.752358,1,1,0,0.493364044,437
계양대로140번길,37.53661058,126.7235594,1,0.2421875,0.317577548,0.493364044,26
계양산,37.547302,126.726598,1,0.326388889,0.075332349,0.493364044,179
계양산 전통시장(노상),37.548134,126.740569,1,0.016891892,0.096011817,0.473870483,28
계양여성회관,37.529274,126.718098,1,0.081439394,0.079763663,0.322177436,44
고양골1,37.540976,126.717459,1,0.042763158,0.11521418,0.493364044,11
굴재공원,37.568414,126.749062,1,0.012547348,0.033973412,0.473870483,17
마장로,37.529013,126.705403,1,1,0.075332349,0.322177436,18
명현쌈지,37.531769,126.711833,1,0.101851852,0.0605613,0.322177436,13
모텡이공원,37.561891,126.754894,1,0.081439394,0.020679468,0.473870483,30
목수천,37.52475605,126.73343,1,0.01108156,0.064992614,0.27820457,70
문화회관 부설,37.54607851,126.7181298,1,0.042763158,0.075332349,0.493364044,142
병방동 양촌,37.54844958,126.7449177,1,0.073784722,0.048744461,0.473870483,29
병방화물,37.552373,126.748015,1,0.073784722,0.039881832,0.473870483,5
봉오대로(구 봉오대로691번길),37.531354,126.725531,1,0.073784722,0.183161004,0.27820457,4
봉오대로894번길,37.528412,126.747943,1,0.115885417,0.056129985,0.191199809,25
살나리공원,37.536257,126.746095,1,0.052734375,0.007385524,0.191199809,20
샘터공원,37.568264,126.745122,1,0.014227642,0.033973412,0.473870483,5
샛별(구 평화의길),37.53147831,126.710496,1,0.073784722,0.070901034,0.322177436,41
서녁공원,37.5605467,126.7579285,1,0.081439394,0.023633678,0.473870483,17
서운동공영차고지,37.526552,126.751712,1,1,0.062038405,0.191199809,131
서운산업단지 주차장,37.535231,126.753901,1,0.2421875,0,0.191199809,127
안골공원,37.57016,126.746569,1,0.040104167,0.035450517,0.473870483,10
안남로573번길,37.534364,126.709316,1,0.073784722,0.033973412,0.322177436,16
양지말공원,37.563413,126.7543385,1,0.061755952,0.013293944,0.473870483,14
양지말공원,37.563413,126.753408,1,0.013081395,0.014771049,0.473870483,14
욕은지길1,37.543217,126.724937,1,0.040104167,0.261447563,0.493364044,10
욕은지길2,37.542892,126.725003,1,0.037698413,0.271787297,0.493364044,13
용종,37.54271086,126.7427195,1,0.007309942,0.023633678,0.493364044,37
임학,37.54877048,126.735162,1,0.326388889,0.143279173,0.473870483,65
임학골(구 학산길),37.54507474,126.7328305,1,0.2421875,0.155096012,0.473870483,12
임학공원,37.548351,126.7334118,1,1,0.132939439,0.473870483,21
작전동 71-5,37.53373176,126.7307032,1,0.023263889,0.094534712,0.27820457,7
작전동 852-7,37.53627094,126.7222173,1,0.157986111,0.274741507,0.27820457,14
작전동 854-1,37.534065,126.723037,1,0.191666667,0.196454948,0.27820457,15
작전동 94-1,37.531843,126.730741,1,0.191666667,0.107828656,0.27820457,11
작전역 환승 동쪽(남측),37.53004219,126.7238831,1,0.067307692,0.169867061,0.27820457,93
작전역 환승 동쪽(북측),37.53067988,126.7239826,1,0.073784722,0.169867061,0.27820457,123
작전역 환승 서쪽(남측),37.53009577,126.7217588,1,0.073784722,0.138847858,0.27820457,65
작전역 환승 서쪽(북측),37.53069485,126.7217254,1,0.090625,0.144756278,0.27820457,39
장터공원,37.579757,126.737463,1,0.067307692,0.045790251,0.473870483,16
황어장터,37.57871127,126.7355659,1,0.056944444,0.038404727,0.473870483,26
황어장터,37.579207,126.735238,1,0.056944444,0.038404727,0.473870483,26
효성동 171-2,37.528634,126.707519,1,0.326388889,0.119645495,0.322177436,21
효성동 81,37.532373,126.709421,1,0.073784722,0.059084195,0.322177436,24
효성동 쌈지,37.52949501,126.7073325,1,0.494791667,0.103397341,0.322177436,3
효성동 쌈지,37.529735,126.707042,1,0.191666667,0.093057607,0.322177436,3
간석3동,37.4664547,126.7179452,0.622596865,0.081439394,0.067946824,0.642318442,111
간석복개지,37.46709062,126.6922529,0.622596865,0.035511364,0.088626292,0.642318442,139
고령토,37.4578155,126.6968337,0.622596865,0.023263889,0.124076809,0.642318442,32
공단 공구상가주변,37.40695006,126.693402,0.622596865,0.081439394,0.028064993,0.212448914,94
구산로,37.45536104,126.7196056,0.622596865,0.049019608,0.184638109,0.716388354,26
구월남로,37.4534939,126.7036862,0.622596865,0.037698413,0.062038405,0.716388354,34
구월도매시장,37.4444092,126.7043212,0.622596865,0.03,0.17872969,0.716388354,100
구월여중앞제일아랫길,37.44674201,126.7049144,0.622596865,0.035511364,0.199409158,0.716388354,31
남동공단1호,37.4155497,126.7043887,0.622596865,0.191666667,0.001477105,0.123548165,62
남동공단2호,37.4162096,126.7120139,0.622596865,0.073784722,0,0.123548165,223
남촌,37.4334014,126.7103525,0.622596865,1,0.022156573,0.123548165,22
남촌동,37.4319299,126.7100952,0.622596865,1,0.023633678,0.123548165,45
남촌화물주차장(정기차량전용),37.43200198,126.7107667,0.622596865,1,0.029542097,0.123548165,22
논고개,37.3994237,126.7262153,0.622596865,0.016173246,0.001477105,0.393887898,30
논현제4,37.39776864,126.7263887,0.622596865,0.009014423,0.001477105,0.393887898,43
논현제5,37.3881297,126.7042731,0.622596865,1,0,0.212448914,198
논현택지3,37.40249676,126.7247162,0.622596865,0.012037037,0.005908419,0.393887898,48
논현택지5,37.4014105,126.7209892,0.622596865,0.01108156,0.001477105,0.393887898,47
다복,37.4597004,126.714287,0.622596865,0.073784722,0.122599705,0.716388354,14
도림2호,37.41936044,126.7284199,0.622596865,0.037698413,0.016248154,0.123548165,23
도림제1,37.4221455,126.7293332,0.622596865,0.037698413,0.020679468,0.123548165,28
독점,37.4508025,126.7122014,0.622596865,0.073784722,0.140324963,0.716388354,30
돌산마루1호,37.46501613,126.7182786,0.622596865,0.081439394,0.116691285,0.642318442,148
돌산마루제4호,37.4661852,126.7157022,0.622596865,0.073784722,0.187592319,0.642318442,14
돌산마루제5호,37.4649799,126.7158923,0.622596865,0.061755952,0.205317578,0.642318442,10
동일,37.4568964,126.6960132,0.622596865,0.024425287,0.128508124,0.642318442,24
로데오,37.4458041,126.7017008,0.622596865,0.028445513,0.1816839,0.716388354,38
만부 제1호,37.46548856,126.7379509,0.622596865,0.2421875,0.039881832,0.743606309,17
만부 제2호,37.46702451,126.7359027,0.622596865,0.494791667,0.032496307,0.743606309,7
만부 제3호,37.46700389,126.7386586,0.622596865,0.494791667,0.029542097,0.743606309,6
만수복개천1,37.45348852,126.721716,0.622596865,0.049019608,0.265878877,0.716388354,140
만수복개천2,37.4538726,126.7252821,0.622596865,0.494791667,0.305760709,0.743606309,134
만수복개천3,37.4504584,126.7261876,0.622596865,0.494791667,0.23633678,0.716388354,176
만수복개천4,37.4492856,126.7277332,0.622596865,0.326388889,0.211225997,0.716388354,83
만수복개천5,37.4482744,126.7300558,0.622596865,0.101851852,0.150664697,0.743606309,45
만수시장,37.4600515,126.7317898,0.622596865,0.037698413,0.214180207,0.743606309,34
만수어린이공원(정기차량전용),37.45354611,126.7276999,0.622596865,1,0.308714919,0.743606309,50
만월10호,37.46138096,126.7278079,0.622596865,0.040104167,0.224519941,0.743606309,16
만월1호,37.4645956,126.7261855,0.622596865,0.157986111,0.05760709,0.743606309,12
만월2호,37.46452914,126.7275431,0.622596865,0.045717593,0.044313146,0.743606309,12
만월3호,37.46424183,126.7276383,0.622596865,0.045717593,0.0605613,0.743606309,4
만월4호,37.46383655,126.728493,0.622596865,0.049019608,0.11521418,0.743606309,8
만월5호,37.46193123,126.7264341,0.622596865,0.081439394,0.144756278,0.743606309,3
만월6호,37.46321862,126.7271696,0.622596865,0.037698413,0.129985229,0.743606309,9
만월7호,37.461038,126.7263249,0.622596865,0.081439394,0.177252585,0.743606309,10
만월9호,37.4602378,126.7281583,0.622596865,0.115885417,0.258493353,0.743606309,21
만월제11호,37.4619951,126.728185,0.622596865,0.045717593,0.206794682,0.743606309,38
만의골노상주차장,37.4572426,126.7730135,0.622596865,1,0.007385524,0.104082693,140
모래마을1호,37.4538948,126.7223318,0.622596865,0.090625,0.259970458,0.716388354,5
모래마을2호,37.45313379,126.7219492,0.622596865,0.056944444,0.286558346,0.716388354,6
모래마을3호,37.45274703,126.7220123,0.622596865,0.073784722,0.298375185,0.716388354,4
모래마을5호,37.4531638,126.7213949,0.622596865,0.049019608,0.268833087,0.716388354,10
목화,37.4628398,126.7096667,0.622596865,0.067307692,0.317577548,0.642318442,33
문예6길,37.44620791,126.6959183,0.622596865,0.052734375,0.122599705,0.716388354,29
문예회관,37.44759036,126.7000564,0.622596865,0.031684028,0.137370753,0.716388354,779
문화로,37.4477732,126.6955838,0.622596865,0.157986111,0.163958641,0.716388354,170
문화서,37.4498589,126.6951633,0.622596865,0.191666667,0.183161004,0.716388354,11
문화서제2호(정기차량전용),37.45186949,126.6952754,0.622596865,0.157986111,0.144756278,0.716388354,21
문화서제3,37.4467694,126.6968895,0.622596865,0.033514493,0.129985229,0.716388354,23
문화서제4호,37.4515184,126.6977566,0.622596865,0.133928571,0.134416544,0.716388354,13
백구로,37.45657664,126.7253864,0.622596865,1,0.29985229,0.743606309,58
백범,37.4616295,126.7185154,0.622596865,0.061755952,0.144756278,0.642318442,6
볼우물길,37.44761008,126.6962433,0.622596865,0.037698413,0.158050222,0.716388354,37
산호1호,37.46409624,126.7249957,0.622596865,0.081439394,0.094534712,0.743606309,8
상록수길,37.45593704,126.7329329,0.622596865,0.133928571,0.211225997,0.743606309,47
새남촌,37.43278622,126.7127282,0.622596865,0.2421875,0.042836041,0.123548165,234
서창1호,37.4372208,126.7446158,0.622596865,0.025669643,0.013293944,0.214007837,25
서창2호,37.4357655,126.747578,0.622596865,0.014227642,0.016248154,0.214007837,36
서창3호,37.4329093,126.7518515,0.622596865,0.028445513,0.011816839,0.214007837,31
서창4호,37.431719,126.7517582,0.622596865,0.024425287,0.010339734,0.214007837,27
서창5호,37.434246,126.7512982,0.622596865,0.03,0.013293944,0.214007837,60
서창6호,37.4373464,126.7462635,0.622596865,0.02020202,0.016248154,0.214007837,18
석산길,37.46326912,126.7135139,0.622596865,0.090625,0.282127031,0.642318442,58
석천,37.46798048,126.7059836,0.622596865,0.494791667,0.246676514,0.642318442,35
석천로,37.46122578,126.7129232,0.622596865,0.067307692,0.200886263,0.642318442,10
석촌로,37.4641853,126.7099375,0.622596865,0.133928571,0.336779911,0.642318442,13
선진8길,37.4557431,126.6968357,0.622596865,0.101851852,0.106351551,0.642318442,34
성리,37.4456348,126.7076339,0.622596865,0.052734375,0.189069424,0.716388354,25
성실,37.4505339,126.7223324,0.622596865,0.090625,0.29689808,0.716388354,13
소래산,37.45687409,126.7712336,0.622596865,1,0.007385524,0.104082693,482
소래제1,37.3976036,126.7354619,0.622596865,0.003237613,0.017725258,0.393887898,228
소래제2,37.4000593,126.7342348,0.622596865,0.00093633,0.017725258,0.393887898,115
소래제3,37.4014401,126.7319075,0.622596865,0.002213542,0.016248154,0.393887898,104
소래제4,37.3988509,126.7400489,0.622596865,0.061755952,0.019202363,0.393887898,24
소래제5,37.4014208,126.7393848,0.622596865,0.033514493,0.033973412,0.393887898,105
소망,37.4522584,126.7234899,0.622596865,0.115885417,0.336779911,0.716388354,44
수협소공원,37.44901751,126.6943055,0.622596865,0.2421875,0.184638109,0.716388354,33
시 부설주차장,37.45625536,126.704701,0.622596865,0.023263889,0.056129985,0.716388354,682
시계공영주차장,37.44335536,126.7667421,0.622596865,1,0.011816839,0.104082693,20
신성길,37.4602301,126.7215912,0.622596865,0.081439394,0.183161004,0.716388354,54
양지말,37.45986399,126.7036818,0.622596865,0.031684028,0.107828656,0.642318442,5
양지제2호,37.4599292,126.704698,0.622596865,0.033514493,0.1211226,0.642318442,19
예술로,37.4513412,126.7029472,0.622596865,0.031684028,0.100443131,0.716388354,14
인정,37.4486876,126.6935336,0.622596865,0.326388889,0.177252585,0.716388354,12
자치길,37.45839481,126.7277034,0.622596865,0.191666667,0.274741507,0.743606309,31
작은성말(정기차량전용),37.44551953,126.7053305,0.622596865,0.033514493,0.193500739,0.716388354,7
작은성말2길,37.4479219,126.7066679,0.622596865,0.040104167,0.203840473,0.716388354,41
장도로,37.39900219,126.7379876,0.622596865,0.004227053,0.022156573,0.393887898,64
장미,37.4569369,126.716188,0.622596865,0.045717593,0.066469719,0.716388354,10
장수1호,37.4518519,126.7512545,0.622596865,0.101851852,0.019202363,0.104082693,26
장수2호,37.4509241,126.7538468,0.622596865,0.101851852,0.017725258,0.104082693,26
장수3호,37.4497436,126.755539,0.622596865,0.494791667,0.016248154,0.104082693,11
장승백이1호(정기차량전용),37.44762374,126.7366103,0.622596865,0.042763158,0.094534712,0.743606309,17
장승백이2호(정기차량전용),37.44584145,126.7410025,0.622596865,0.042763158,0.056129985,0.743606309,16
장승백이3호(정기차량전용),37.44600864,126.7415764,0.622596865,0.042763158,0.056129985,0.743606309,20
주원,37.46554856,126.7011308,0.622596865,0.157986111,0.196454948,0.642318442,6
진솔,37.4485259,126.6952091,0.622596865,0.326388889,0.17577548,0.716388354,60
진주1호,37.4575604,126.7263612,0.622596865,0.2421875,0.277695716,0.743606309,27
진주2호,37.458963,126.7260775,0.622596865,0.090625,0.243722304,0.743606309,10
진주3호,37.4558632,126.7302441,0.622596865,0.157986111,0.276218612,0.743606309,12
진주4호,37.4582301,126.725796,0.622596865,0.133928571,0.261447563,0.743606309,43
창대시장,37.44794264,126.7359247,0.622596865,0.042763158,0.101920236,0.743606309,21
포구로,37.4003457,126.7391204,0.622596865,0.045717593,0.025110783,0.393887898,26
하모니,37.40192748,126.7069153,0.622596865,0.021158854,0.004431315,0.393887898,69
하촌로,37.45237284,126.7333034,0.622596865,0.133928571,0.212703102,0.743606309,174
하촌로5,37.4546031,126.7253489,0.622596865,1,0.302806499,0.743606309,28
학생안전체험관,37.45186067,126.7158791,0.622596865,0.040104167,0.215657312,0.716388354,142
향촌,37.46112738,126.7312856,0.622596865,0.037698413,0.197932053,0.743606309,83
(구)화평동사무소앞,37.478769,126.630041,0.020112393,0.049019608,0.355982275,0.032091344,22
구민운동장,37.476948,126.671114,0.020112393,0.326388889,0.035450517,0.141019339,35
금창동사무소 옆,37.472415,126.639991,0.020112393,0.115885417,0.332348597,0.012752272,12
대우중공업 옆,37.485762,126.623168,0.020112393,0.033514493,0.029542097,0.037372021,9
대우중공업옆(2),37.484579,126.626802,0.020112393,0.023263889,0.091580502,0.037372021,13
대우중공업주변,37.485555,126.628559,0.020112393,0.035511364,0.085672083,0.032091344,10
동화세르빌 옆,37.481329,126.632062,0.020112393,0.056944444,0.209748892,0.032091344,6
만석1차A 뒷골목,37.481818,126.620662,0.020112393,0.025669643,0.088626292,0.037372021,7
만석부두 공영,37.491246,126.621762,0.020112393,1,0.007385524,0.037372021,57
만석우체국 뒤,37.482476,126.620261,0.020112393,0.025669643,0.085672083,0.037372021,4
민방위교육장 앞,37.471046,126.638444,0.020112393,0.157986111,0.403249631,0.012752272,18
삼두아파트 옆,37.480331,126.633403,0.020112393,0.090625,0.209748892,0.081218488,14
서흥초교앞,37.479136,126.645466,0.020112393,0.073784722,0.274741507,0.141019339,48
송강빌라 주변,37.480697,126.631599,0.020112393,0.061755952,0.211225997,0.032091344,5
송림2동 복음병원위,37.475321,126.642018,0.020112393,0.101851852,0.295420975,0.141019339,21
송림4동 sk주택 앞,37.478538,126.653063,0.020112393,0.049019608,0.134416544,0.141019339,12
송현근린공원/배수지,37.476886,126.638608,0.020112393,0.115885417,0.208271787,0.081218488,27
송현시장 부근,37.476041,126.634894,0.020112393,0.157986111,0.514032496,0.081218488,16
송현주공A 앞,37.480823,126.644813,0.020112393,0.2421875,0.119645495,0.141019339,112
송현터널 앞,37.474475,126.638902,0.020112393,0.067307692,0.29394387,0.141019339,69
어린이교통공원,37.477785,126.669193,0.020112393,0.115885417,0.036927622,0.141019339,34
중앙시장,37.473842,126.635601,0.020112393,0.326388889,0.556868538,0.012752272,57
찌개마을 앞,37.4864387,126.622291,0.020112393,0.037698413,0.026587888,0.037372021,5
한라빌라 옆,37.481477,126.624235,0.020112393,0.016173246,0.107828656,0.037372021,18
현대시장 공영,37.477154,126.647347,0.020112393,0.067307692,0.311669129,0.141019339,91
화도진근린공원,37.481085,126.628669,0.020112393,0.040104167,0.203840473,0.032091344,21
화도진중학교 앞,37.484526,126.630841,0.020112393,0.081439394,0.094534712,0.032091344,24
화수1.화평동 민원주차장,37.481231,126.630176,0.020112393,0.042763158,0.214180207,0.032091344,16
